tweet,labels
 rt mayasolov woman shouldnt complain clean hous amp man alway take trash,No Hate and Offensive Speech
 rt mlee boy dat coldtyga dwn bad cuffin dat hoe 1st place,Offensive Speech
 rt urkindofbrand dawg rt babif ever fuck bitch start cri confus shit,Offensive Speech
 rt c_g_anderson viva_bas look like tranni,Offensive Speech
 rt shenikarobert shit hear might true might faker bitch told ya 61,Offensive Speech
t_madison_x shit blow meclaim faith somebodi still fuck hoe ,Offensive Speech
__brighterday sit hate anoth bitch  got much shit go,Offensive Speech
0selfiequeenbri caus im tire big bitch come us skinni girl21,Offensive Speech
 amp might get ya bitch back amp that ,Offensive Speech
" rhythmixx_ hobbi includ fight mariambitch",Offensive Speech
 keek bitch curv everyon  lol walk convers like smh,Offensive Speech
 murda gang bitch gang land ,Offensive Speech
 hoe smoke loser   yea  go ig,Offensive Speech
 bad bitch thing like ,Offensive Speech
 bitch get ,Offensive Speech
 bitch nigga miss ,Offensive Speech
 bitch plz whatev ,Offensive Speech
 bitch love ,Offensive Speech
 bitch get cut everyday b ,Offensive Speech
 black bottl amp bad bitch ,Offensive Speech
 broke bitch cant tell noth ,Offensive Speech
 cancel bitch like nino ,Offensive Speech
 cant see hoe wont chang ,Offensive Speech
 fuck bitch dont even suck dick   kermit video bout fuck ig,Offensive Speech
 got ya bitch tip toe hardwood floor   ,Offensive Speech
 pussi lip like heaven door  ,Offensive Speech
 hoe hit ,Offensive Speech
 met pussi ocean dr  gave pussi pill  ,Offensive Speech
 need trippi bitch fuck hennessi ,Offensive Speech
 spend money want bitch busi ,Offensive Speech
 txt old bitch new bitch pussi wetter ,Offensive Speech
 id say im back old old bitch would get excit  ,Offensive Speech
 aint bout murder game pussi nigga shut ,Offensive Speech
 your toe aint done pussi stink ,Offensive Speech
 im done bitter bitch wrap  angri bird there app ,Offensive Speech
 ya bitch ,Offensive Speech
 aint noth cut bitch ,Offensive Speech
 jus meet son ya mane ass bitch  shot,Offensive Speech
 lame cri hoe that tear clown ,Offensive Speech
 like snoop said 94 dont love hoe ,Offensive Speech
 momma said pussi cat insid doghous ,No Hate and Offensive Speech
 hate hoe favorit  2mw sevenon  ,Offensive Speech
 nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick ,Offensive Speech
 pimp pimp hoe  futur voic,Offensive Speech
 post pictur pussi get  like ,Offensive Speech
 pussi power drug   happyhumpday ,Offensive Speech
 quick piec pussi call drive ,Offensive Speech
 run round like brand new pussi that bout get fuck ,Offensive Speech
 bitch even worst theyll send guy ,Offensive Speech
 hoe like nigga spend money talk bout ,Offensive Speech
 dont trust nigga bitch ,Offensive Speech
 yall nigga b cuf hoe caus yall aint never bitch ,Offensive Speech
 dodg bullet   0darealkha da bitch cut pregnant bound thank god 1,Offensive Speech
 young pill chamberlain bitch love music ,Offensive Speech
vandalsavage_ teanna trump probabl cleaner twitter hoe,Offensive Speech
dahomiefuzz gay nigga couldnt wait act like bitch tonight,Offensive Speech
the_paradox ima steal cat n replac pitbul  rt babif the_paradox bitch,Offensive Speech
amp hes gone alway hoe,Offensive Speech
"son bitch took tic tacsi like movi",Offensive Speech
wanna get money fuck model bitch  russel simmon,Offensive Speech
5seniorprob probabl would mind school much deal bitch ass teacher retweet,Offensive Speech
demeri im fuck fag said,Offensive Speech
arizzleindacut femal think date pussi cute  stuff make pussi,Offensive Speech
addicteuy simplyaddictedtoguy  woof woof hot scalli lad,No Hate and Offensive Speech
adorebellaaa ya ever ask bitch bitch  kany voic yes,Offensive Speech
adorezoey u gone bring ur side bitch game know ya gf friend   swear,Offensive Speech
allaboutmanfeet  woof woof hot sole,No Hate and Offensive Speech
allyhaaaaa lemmi eat oreo amp dish one oreo lol,No Hate and Offensive Speech
almightywayne__ jetsandaswish gook____ bitch fuck u  mayb youll get better ,Offensive Speech
almightywayne__ fuck red malon man bitch ass niggah could pleas use complet sentenc,Offensive Speech
arizonasfinest6 eggplant emoji doey say look like scream lmao,No Hate and Offensive Speech
autoworid hennessey venom gt   that one sexi bitch,Offensive Speech
bossbytchh seh pussi wetter shower curtainahmesehwetnessltlmao,Offensive Speech
bro_he4 eaglesn everi eagl need see pic post bitch said racist shit,Offensive Speech
"bvsedchink yo fuck skateboard yall wood push faggot man ball life amjemiebenn",Offensive Speech
"babyanimalp babi monkey bathtim a soooo ador",No Hate and Offensive Speech
baylaagottabodi  aint shit  damn skippi lol,Offensive Speech
beeasyjrizzi u ever kill ant sidewalk think damn nigga way get pussyno bs must b gchanc,Offensive Speech
beenbasedb _kudabrazyy  0 ring 0 mvps 0 bitch lol,Offensive Speech
beenflynsolo ppl talk bad ghettohood  kid grow nigga funnnnnnn ,Offensive Speech
bestproadvic fact tattoostattoo  hes pussi tattoo nippl,Offensive Speech
bil5_  rt nel_ayden bitch want act like nigga bad  shit aint cuteeee nigga act like bitch,Offensive Speech
bitchjon get worship bitch  woof woof,Offensive Speech
blackchiquitita wow rt thatmanpalm im lost buttcheek pierc  yeah shes hoe,Offensive Speech
blacknerdjad ok sis shed rather broke bitch shrug shell tell work,Offensive Speech
blackmatid whalelookyher howdydowd queer gaywad,Hate Speech
brokenpiecesmsc itsnotadam faggot read tweet dat k wasnt even funni lol,Offensive Speech
brosconfess bitch ungrat  fr  lulwhor,Offensive Speech
cashandboobi kidnap yo bitch,Offensive Speech
cb_bab white_thunduh alsarabsss hes beaner smh tell hes mexican,Hate Speech
ccobey aydanmccoy happi birthday nig thank yo,Offensive Speech
chlldhoodruin ur teacher tell u u homework  bitch need go,Offensive Speech
caelan dham caelan nigga eat hoe lol hell yea lol john paul nigga said john paul ,Offensive Speech
canifuckornah would yall lil ugli bald head bitch stop make makeup amp weav,Offensive Speech
carelesson leaf better win damn game go riot shit earlychristma better start loot nig,Offensive Speech
causewereguy go back school suck dick hoe attend,Offensive Speech
causewereguy way fuck yo bitch  9 year old,Offensive Speech
celeynichol white_thunduh come never bring food dont car retard,Offensive Speech
chadmfverbeck richnow doesnt show hella tinder hoe im friend anymor chill brought like like 8 propl,Offensive Speech
chandlerparson bout cowboy shutup pussi,Offensive Speech
clicquotsuav lmaooooooooooo nigga krillz_nuh_car  ltbitch want like depress shitfoh,Offensive Speech
coley_ce lil_aerii girl know spit g shit amp go lbvsbitch plz,Offensive Speech
coley_ce let make coupl tweet cuzzo page wont get twitter jaillmao bitch dont trick,Offensive Speech
comedypost harlem shake excus go full retard 30 second,Offensive Speech
comedytruth amen miley   dont need act like hoe bc shes emot damag foh,Offensive Speech
corybandz one loyal femal wayyyyy better hoe  idc ,Offensive Speech
"crhedri pussi lick pussi meow meow stopwhitepeopl14  ",Offensive Speech
dbab_holloway check h man cowboysn even faggot ny fan stand,Offensive Speech
dgotbrick happen vixen ent bitch got ran threw side like foothil bitch,Offensive Speech
daedavidavi white_thunduh im bitch okay nude pat  wow,Offensive Speech
devilgrimz vigxrart your fuck gay blacklist hoe hold tehgodclan anyway ,Hate Speech
diamondloudkush fuck wrong bitch nobodi know,Offensive Speech
dietric92 yall shut upp make bitch,Offensive Speech
dionairish hate im pregnant type bitch,Offensive Speech
doyou_q got bitch dm dont ever readem top 3,Offensive Speech
domworldpeac basebal season win yanke love start,No Hate and Offensive Speech
dommoneek littl stupid bitch dont fuck yoooooouuuu,Offensive Speech
dreadheadari realli ask dead ass serious tho could say bitch wheet lol,Offensive Speech
dunderbail im earli bird im night owl im wise worm,No Hate and Offensive Speech
edgarpixar overdos heavi drug doesnt sound bad tonight pussi shit everi day,No Hate and Offensive Speech
"el_grillo1 pit bull photograph love fairi tale creatur they fairi tale creatur",No Hate and Offensive Speech
ferocious_ghost 1stname_bravo aw fag dont tweet aw lol,Offensive Speech
floki long laker trash could careless that real cc benbal hahaha,No Hate and Offensive Speech
frosstyy_ heyd didnt say anyth tho kiss faggot,Offensive Speech
funnypicsdepot play soccer cheat girl wear khaki colour cargo haircut   yup,No Hate and Offensive Speech
status could go fat ass bitch lap,Offensive Speech
gedmell 17 miss call das yo po bitch twitter finna screamn freemoneymell,Offensive Speech
gtm_al ya side bitch gotta know rule shitanybodi ask cousin jersey thinkin bout move lmmfao ,Offensive Speech
gagatom1 0malefoot 3  amo los pie  fuck yeah,Offensive Speech
girlthatsvont hoe think meat wont slap ass  ainna bruh,Offensive Speech
girlthatsvont yall bitch wit edg talk 4,Offensive Speech
girlthatsvont yall still go trick treat year nahhel yeah ima da sweet tooth bandit steal bitch bag n shit,Offensive Speech
girllssu wanna sex mom fuck right pussi came damn got hack like fuck,Offensive Speech
gizzy_jon kiss u eye open watch bitchlmfao,Offensive Speech
goofstroop woulda coulda shoulda ass hoe ,Offensive Speech
gotti_ltf happi bday bitch ass nigga jetsandaswisherpreci bitch roll,Offensive Speech
hbmostdop 1jaye pipinho use send bitch,Offensive Speech
hbmostdop ugli bitch like im wcw duh bitch aint nobodi else4,Offensive Speech
halotgmg 1stname_bravo nigga know hacki sack hoe nah throw look pass lmao,Offensive Speech
heartlessfuck glad im get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,Offensive Speech
hermosaalma isnt ghettoit smart  im idc,No Hate and Offensive Speech
hiimjorib would wife hoe cuz wouldnt care cheat forc relationship first place,Offensive Speech
hornyfact singl isnt excus hoe theonemiss_luu,Offensive Speech
hoskinst white boy power bitch black power bitch,Offensive Speech
hudgen let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,Offensive Speech
iscoutgirl verbally_abrupt bitch u around world back,Offensive Speech
itsyahboiray anelylov dont get dick suck yo parti bad bitch im fr gone set  anelylov ,Offensive Speech
itsyesi oomf soooo cute probabl hoe lot,Offensive Speech
jayten9 everi cartoon alway _nuffsai save hoe lmao  lmao damn captain saveaho,Offensive Speech
jreebo want get nose bad boi scalli chav sockfetish stink  hot sox leg,No Hate and Offensive Speech
jamesynba wish bitch like brother keezi  ooooow bet,Offensive Speech
jasminepor dress cat halloween basic pussi,Offensive Speech
jewelxo pornhub get game stream featur dumb bitch gtfo pornhub get katielt3,Offensive Speech
joebudden stop scare choke sex u bitch ass nigga shl like say guy hit women bed foh,Offensive Speech
johnnperez white_thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig,Offensive Speech
kazatta 1takehov oh man 5 molli ho fuck ya seed fix,Offensive Speech
kelsiebelsi your man refer everi girl bitch,Offensive Speech
keyshawnswag lmfao cat start beat shit nigga final got pussi nigga,Offensive Speech
keyshawnswag peel peel bring back rewind back im move shaq line ooooow tf said trash,No Hate and Offensive Speech
kingcuh tanley io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,Offensive Speech
kinghend vondreaam naw old tape new cover  upcom mixtap kingofthehil yeah im wait hoe mayn,Offensive Speech
kingteej_ ol dirti foot ass bitch funni,Offensive Speech
king_shawn_6 white_thunduh that get yellow flag amaz  hell yeah niggi,Offensive Speech
kissmysmile dont got time bitch actin iffi,Offensive Speech
knightfann ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,No Hate and Offensive Speech
"kyranadiya_ hoe aint loyal  aint smfh amp wonder nobodi decent want",Offensive Speech
lcistj bruh stud keep think im soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,Offensive Speech
lodycash dri pussi bitch alway blame condo4,Offensive Speech
lunarap shut yo bitch ass  ,Offensive Speech
laflaregodjosh gucci mane jail drop mixtap everi month hoe cant even text back,Offensive Speech
latrobemark love hoe money wat wrong nigga,Offensive Speech
lebronvuitton loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,Offensive Speech
lilfridayho easi cum easi hoe that fact ,Offensive Speech
lifeasbro charli sheen real  major fuck respect charli sheen,Offensive Speech
"lightskingawdd wish bae you got hoe tho",Offensive Speech
lil_mik fuck twerk bitch cook ,Offensive Speech
linniekravitz wesgodlaflar bitch wtf ,Offensive Speech
lipe_the_great 0heyd lipe_the_great shut zoe fight puss21 zoe im good man good maam move along,Offensive Speech
lolaaisdop lmao fuck snake bitch  em,Offensive Speech
loveable_aizah big booti hoe everywher sheesh  damn ,Offensive Speech
mlbnetwork stay tune mlbnetwork updat report yanke 1b teixeiramar  week dlimin bum,No Hate and Offensive Speech
m_rad 0dezdlt play soccer cheat girl wear khaki colour cargo haircut  yes lmfaosoccerboy,No Hate and Offensive Speech
madflyentist oregon choke everi year get field trash ass program rft,Offensive Speech
mannydiesel def cowboy lol rt artoffloyd terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,Offensive Speech
markroundtreejr lmfaoooo hate black peopl  there black peopl nigger,Hate Speech
maste_ olife_ gabrielastarr could u bitch potent,Offensive Speech
maxmay  piss lad past would lick dirti sole slept,No Hate and Offensive Speech
maxmay  love frat boy w soft long sole,No Hate and Offensive Speech
maxmay  sexi lad hot sole arch,No Hate and Offensive Speech
megamindnick white_thunduh nah fam gotta cheat hoe depend femal feel,Offensive Speech
mesha_noja _vontethekidd  got hick lol,No Hate and Offensive Speech
migsmichelen new twitter confus shit go back south america bitch,Offensive Speech
miikito_x3 toto mean ass vaginai think pussi caus toto santi like nasti pussi,Offensive Speech
mikelahenri actual choos ugli bitch er ass must fat,Offensive Speech
mileycyrus bitch couldnt kill vibe ya tri  dis love miley ,Offensive Speech
